"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA151","British Gas New Heating Limited","","Authorised","Initial authorisation","24/01/2013","Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA150","The Big Green Energy Company Limited","","Authorised","Initial authorisation","01/11/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Air source heat pumps,England,Green Deal Finance Plan"
"GDPA148","Silverstone Green Energy Limited","","Authorised","Initial authorisation","19/03/2013","Non-domestic,Wales"
"GDPA147","Nationwide Energy Consultants Utilities Limited","","Authorised","Initial authorisation","11/02/2013","Non-domestic,England,Scotland,Wales"
"GDPA146","Npower Northern Limited","","Authorised","Initial authorisation","10/12/2012","Domestic,England,Scotland,Wales"
"GDPA142","Climate Energy Limited","","Authorised","Initial authorisation","07/01/2013","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,High performance external doors,Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Replacement glazing,Secondary glazing,Solar water heating,Air source heat pumps,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA138","Solar-City (UK) Ltd T/A Green Light Green Deal","","Authorised","Initial authorisation","04/02/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showe"
"GDPA136","Servicetotal Limited","","Authorised","Initial authorisation","05/03/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Air source heat pumps,England,Wales,Green Deal Finance Plan"
"GDPA135","Toriga Energy Limited","","Authorised","Initial authorisation","19/12/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA133","Solarcrown UK Limited T/A Solarking UK","","Authorised","Initial authorisation","25/04/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA131","thegreendealshop.com Ltd","","Authorised","Initial authorisation","16/11/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showe"
"GDPA128","Property and Training Solutions Ltd T/A Green Deal Central","","Authorised","Initial authorisation","10/04/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA126","Yorkshire Energy Services CIC T/A YES Energy Solutions","","Authorised","Initial authorisation","01/02/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
