"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA237","Ipex Investments Ltd","","Authorised","Initial authorisation","10/04/2013","Domestic,Non-domestic,England,Scotland,Wales"
"GDPA227","EDF Energy Customers PLC","","Authorised","Initial authorisation","27/02/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA226","Willmott Dixon Energy Services Limited","","Authorised","Initial authorisation","18/03/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA223","Foster Property Maintenance Ltd","","Authorised","Initial authorisation","08/03/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Replacement glazing,Roof insulation,Room in roof insulation,Solar water heating,Under-floor insulation,Air source heat pumps,England,Green Deal Finance Plan"
"GDPA221","City Energy South Wales Ltd","","Authorised","Initial authorisation","15/05/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Replacement glazing,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Air source heat pumps,Warm-air units,Wales,Green Deal Finance Plan"
"GDPA218","G2V Solar Energy Solutions Limited","","Authorised","Initial authorisation","27/03/2013","Non-domestic,England,Scotland"
"GDPA216","Green Deal Express Limited","","Authorised","Initial authorisation","08/02/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Roof insulation,Room in roof insulation,Solar water heating,Under-floor insulation,England,Green Deal Finance Plan"
"GDPA194","Carillion Energy Services Limited","","Authorised","Initial authorisation","09/11/2012","Domestic,Non-domestic,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Roof insulation,Air source heat pumps,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA188","Neil Pittam Electrical Installations Ltd t/a U need Energy","","Authorised","Initial authorisation","11/02/2013","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water "
"GDPA181","Polyramek Energy Limited","","Authorised","Initial authorisation","19/02/2013","Non-domestic,Green Deal Cashback Scheme,England"
